"Label (Grouping)","Bath County, Kentucky!!Total!!Estimate","Bath County, Kentucky!!Percent!!Estimate","Bath County, Kentucky!!Male!!Estimate","Bath County, Kentucky!!Percent Male!!Estimate","Bath County, Kentucky!!Female!!Estimate","Bath County, Kentucky!!Percent Female!!Estimate","Boyd County, Kentucky!!Total!!Estimate","Boyd County, Kentucky!!Percent!!Estimate","Boyd County, Kentucky!!Male!!Estimate","Boyd County, Kentucky!!Percent Male!!Estimate","Boyd County, Kentucky!!Female!!Estimate","Boyd County, Kentucky!!Percent Female!!Estimate","Bracken County, Kentucky!!Total!!Estimate","Bracken County, Kentucky!!Percent!!Estimate","Bracken County, Kentucky!!Male!!Estimate","Bracken County, Kentucky!!Percent Male!!Estimate","Bracken County, Kentucky!!Female!!Estimate","Bracken County, Kentucky!!Percent Female!!Estimate","Breathitt County, Kentucky!!Total!!Estimate","Breathitt County, Kentucky!!Percent!!Estimate","Breathitt County, Kentucky!!Male!!Estimate","Breathitt County, Kentucky!!Percent Male!!Estimate","Breathitt County, Kentucky!!Female!!Estimate","Breathitt County, Kentucky!!Percent Female!!Estimate","Carter County, Kentucky!!Total!!Estimate","Carter County, Kentucky!!Percent!!Estimate","Carter County, Kentucky!!Male!!Estimate","Carter County, Kentucky!!Percent Male!!Estimate","Carter County, Kentucky!!Female!!Estimate","Carter County, Kentucky!!Percent Female!!Estimate","Elliott County, Kentucky!!Total!!Estimate","Elliott County, Kentucky!!Percent!!Estimate","Elliott County, Kentucky!!Male!!Estimate","Elliott County, Kentucky!!Percent Male!!Estimate","Elliott County, Kentucky!!Female!!Estimate","Elliott County, Kentucky!!Percent Female!!Estimate","Fleming County, Kentucky!!Total!!Estimate","Fleming County, Kentucky!!Percent!!Estimate","Fleming County, Kentucky!!Male!!Estimate","Fleming County, Kentucky!!Percent Male!!Estimate","Fleming County, Kentucky!!Female!!Estimate","Fleming County, Kentucky!!Percent Female!!Estimate","Floyd County, Kentucky!!Total!!Estimate","Floyd County, Kentucky!!Percent!!Estimate","Floyd County, Kentucky!!Male!!Estimate","Floyd County, Kentucky!!Percent Male!!Estimate","Floyd County, Kentucky!!Female!!Estimate","Floyd County, Kentucky!!Percent Female!!Estimate","Greenup County, Kentucky!!Total!!Estimate","Greenup County, Kentucky!!Percent!!Estimate","Greenup County, Kentucky!!Male!!Estimate","Greenup County, Kentucky!!Percent Male!!Estimate","Greenup County, Kentucky!!Female!!Estimate","Greenup County, Kentucky!!Percent Female!!Estimate","Johnson County, Kentucky!!Total!!Estimate","Johnson County, Kentucky!!Percent!!Estimate","Johnson County, Kentucky!!Male!!Estimate","Johnson County, Kentucky!!Percent Male!!Estimate","Johnson County, Kentucky!!Female!!Estimate","Johnson County, Kentucky!!Percent Female!!Estimate","Knott County, Kentucky!!Total!!Estimate","Knott County, Kentucky!!Percent!!Estimate","Knott County, Kentucky!!Male!!Estimate","Knott County, Kentucky!!Percent Male!!Estimate","Knott County, Kentucky!!Female!!Estimate","Knott County, Kentucky!!Percent Female!!Estimate","Lawrence County, Kentucky!!Total!!Estimate","Lawrence County, Kentucky!!Percent!!Estimate","Lawrence County, Kentucky!!Male!!Estimate","Lawrence County, Kentucky!!Percent Male!!Estimate","Lawrence County, Kentucky!!Female!!Estimate","Lawrence County, Kentucky!!Percent Female!!Estimate","Lee County, Kentucky!!Total!!Estimate","Lee County, Kentucky!!Percent!!Estimate","Lee County, Kentucky!!Male!!Estimate","Lee County, Kentucky!!Percent Male!!Estimate","Lee County, Kentucky!!Female!!Estimate","Lee County, Kentucky!!Percent Female!!Estimate","Leslie County, Kentucky!!Total!!Estimate","Leslie County, Kentucky!!Percent!!Estimate","Leslie County, Kentucky!!Male!!Estimate","Leslie County, Kentucky!!Percent Male!!Estimate","Leslie County, Kentucky!!Female!!Estimate","Leslie County, Kentucky!!Percent Female!!Estimate","Letcher County, Kentucky!!Total!!Estimate","Letcher County, Kentucky!!Percent!!Estimate","Letcher County, Kentucky!!Male!!Estimate","Letcher County, Kentucky!!Percent Male!!Estimate","Letcher County, Kentucky!!Female!!Estimate","Letcher County, Kentucky!!Percent Female!!Estimate","Lewis County, Kentucky!!Total!!Estimate","Lewis County, Kentucky!!Percent!!Estimate","Lewis County, Kentucky!!Male!!Estimate","Lewis County, Kentucky!!Percent Male!!Estimate","Lewis County, Kentucky!!Female!!Estimate","Lewis County, Kentucky!!Percent Female!!Estimate","Magoffin County, Kentucky!!Total!!Estimate","Magoffin County, Kentucky!!Percent!!Estimate","Magoffin County, Kentucky!!Male!!Estimate","Magoffin County, Kentucky!!Percent Male!!Estimate","Magoffin County, Kentucky!!Female!!Estimate","Magoffin County, Kentucky!!Percent Female!!Estimate","Martin County, Kentucky!!Total!!Estimate","Martin County, Kentucky!!Percent!!Estimate","Martin County, Kentucky!!Male!!Estimate","Martin County, Kentucky!!Percent Male!!Estimate","Martin County, Kentucky!!Female!!Estimate","Martin County, Kentucky!!Percent Female!!Estimate","Mason County, Kentucky!!Total!!Estimate","Mason County, Kentucky!!Percent!!Estimate","Mason County, Kentucky!!Male!!Estimate","Mason County, Kentucky!!Percent Male!!Estimate","Mason County, Kentucky!!Female!!Estimate","Mason County, Kentucky!!Percent Female!!Estimate","Menifee County, Kentucky!!Total!!Estimate","Menifee County, Kentucky!!Percent!!Estimate","Menifee County, Kentucky!!Male!!Estimate","Menifee County, Kentucky!!Percent Male!!Estimate","Menifee County, Kentucky!!Female!!Estimate","Menifee County, Kentucky!!Percent Female!!Estimate","Montgomery County, Kentucky!!Total!!Estimate","Montgomery County, Kentucky!!Percent!!Estimate","Montgomery County, Kentucky!!Male!!Estimate","Montgomery County, Kentucky!!Percent Male!!Estimate","Montgomery County, Kentucky!!Female!!Estimate","Montgomery County, Kentucky!!Percent Female!!Estimate","Morgan County, Kentucky!!Total!!Estimate","Morgan County, Kentucky!!Percent!!Estimate","Morgan County, Kentucky!!Male!!Estimate","Morgan County, Kentucky!!Percent Male!!Estimate","Morgan County, Kentucky!!Female!!Estimate","Morgan County, Kentucky!!Percent Female!!Estimate","Owsley County, Kentucky!!Total!!Estimate","Owsley County, Kentucky!!Percent!!Estimate","Owsley County, Kentucky!!Male!!Estimate","Owsley County, Kentucky!!Percent Male!!Estimate","Owsley County, Kentucky!!Female!!Estimate","Owsley County, Kentucky!!Percent Female!!Estimate","Perry County, Kentucky!!Total!!Estimate","Perry County, Kentucky!!Percent!!Estimate","Perry County, Kentucky!!Male!!Estimate","Perry County, Kentucky!!Percent Male!!Estimate","Perry County, Kentucky!!Female!!Estimate","Perry County, Kentucky!!Percent Female!!Estimate","Pike County, Kentucky!!Total!!Estimate","Pike County, Kentucky!!Percent!!Estimate","Pike County, Kentucky!!Male!!Estimate","Pike County, Kentucky!!Percent Male!!Estimate","Pike County, Kentucky!!Female!!Estimate","Pike County, Kentucky!!Percent Female!!Estimate","Robertson County, Kentucky!!Total!!Estimate","Robertson County, Kentucky!!Percent!!Estimate","Robertson County, Kentucky!!Male!!Estimate","Robertson County, Kentucky!!Percent Male!!Estimate","Robertson County, Kentucky!!Female!!Estimate","Robertson County, Kentucky!!Percent Female!!Estimate","Rowan County, Kentucky!!Total!!Estimate","Rowan County, Kentucky!!Percent!!Estimate","Rowan County, Kentucky!!Male!!Estimate","Rowan County, Kentucky!!Percent Male!!Estimate","Rowan County, Kentucky!!Female!!Estimate","Rowan County, Kentucky!!Percent Female!!Estimate","Wolfe County, Kentucky!!Total!!Estimate","Wolfe County, Kentucky!!Percent!!Estimate","Wolfe County, Kentucky!!Male!!Estimate","Wolfe County, Kentucky!!Percent Male!!Estimate","Wolfe County, Kentucky!!Female!!Estimate","Wolfe County, Kentucky!!Percent Female!!Estimate"
"        40 to 44 years","698","5.5%","303","4.7%","395","6.3%","2,968","6.2%","1,477","6.1%","1,491","6.2%","548","6.5%","380","9.0%","168","4.0%","893","6.6%","478","7.0%","415","6.2%","1,695","6.4%","816","6.1%","879","6.6%","538","7.3%","281","6.6%","257","8.2%","883","5.8%","393","5.2%","490","6.5%","2,641","7.4%","1,396","8.0%","1,245","6.8%","2,192","6.1%","1,104","6.3%","1,088","6.0%","1,321","5.8%","689","6.1%","632","5.6%","774","5.4%","338","4.8%","436","6.1%","1,267","7.8%","649","8.0%","618","7.6%","563","7.7%","369","8.8%","194","6.1%","838","8.0%","455","8.7%","383","7.3%","1,337","6.2%","698","6.5%","639","5.9%","811","6.2%","415","6.4%","396","6.0%","604","5.2%","382","6.5%","222","3.9%","715","6.3%","487","7.6%","228","4.6%","1,129","6.6%","504","6.0%","625","7.2%","254","4.1%","106","3.2%","148","5.1%","2,047","7.3%","807","5.9%","1,240","8.6%","1,142","8.3%","687","8.6%","455","7.8%","131","3.2%","75","3.7%","56","2.7%","1,962","7.0%","966","7.0%","996","7.0%","3,448","5.9%","1,485","5.2%","1,963","6.7%","133","6.0%","62","6.6%","71","5.6%","1,235","5.0%","628","5.3%","607","4.8%","255","3.9%","91","2.6%","164","5.2%"
"        45 to 49 years","788","6.2%","396","6.2%","392","6.2%","3,056","6.3%","1,629","6.7%","1,427","5.9%","500","5.9%","248","5.9%","252","6.0%","897","6.6%","449","6.5%","448","6.7%","1,711","6.4%","810","6.1%","901","6.8%","551","7.5%","344","8.1%","207","6.6%","946","6.3%","472","6.2%","474","6.3%","2,317","6.5%","1,138","6.5%","1,179","6.5%","2,364","6.6%","1,131","6.4%","1,233","6.8%","1,514","6.7%","752","6.6%","762","6.7%","940","6.6%","496","7.0%","444","6.2%","999","6.2%","512","6.3%","487","6.0%","452","6.2%","276","6.6%","176","5.6%","677","6.5%","324","6.2%","353","6.8%","1,353","6.3%","689","6.4%","664","6.2%","837","6.4%","448","6.9%","389","5.9%","811","7.0%","436","7.4%","375","6.5%","746","6.6%","419","6.6%","327","6.7%","1,073","6.3%","560","6.7%","513","5.9%","295","4.8%","161","4.9%","134","4.6%","1,977","7.0%","1,001","7.3%","976","6.7%","977","7.1%","580","7.3%","397","6.8%","374","9.2%","167","8.3%","207","10.1%","1,824","6.5%","897","6.5%","927","6.5%","3,865","6.6%","1,920","6.7%","1,945","6.6%","120","5.4%","69","7.3%","51","4.0%","1,199","4.9%","598","5.0%","601","4.8%","405","6.2%","197","5.7%","208","6.6%"
"        50 to 54 years","856","6.7%","421","6.5%","435","6.9%","3,236","6.7%","1,676","6.9%","1,560","6.5%","602","7.1%","322","7.6%","280","6.7%","954","7.0%","467","6.8%","487","7.3%","1,888","7.1%","982","7.4%","906","6.8%","489","6.6%","301","7.1%","188","6.0%","1,031","6.8%","527","7.0%","504","6.7%","2,422","6.8%","1,173","6.7%","1,249","6.8%","2,382","6.6%","1,157","6.6%","1,225","6.7%","1,547","6.8%","752","6.6%","795","7.0%","996","7.0%","489","6.9%","507","7.1%","1,096","6.8%","564","6.9%","532","6.6%","533","7.3%","293","7.0%","240","7.6%","754","7.2%","394","7.5%","360","6.9%","1,474","6.9%","745","7.0%","729","6.8%","906","6.9%","442","6.8%","464","7.0%","820","7.0%","418","7.1%","402","7.0%","735","6.5%","374","5.9%","361","7.3%","1,149","6.7%","570","6.8%","579","6.7%","470","7.6%","269","8.2%","201","7.0%","1,995","7.1%","992","7.2%","1,003","6.9%","929","6.7%","509","6.4%","420","7.2%","262","6.5%","104","5.2%","158","7.7%","2,044","7.3%","994","7.2%","1,050","7.4%","4,046","7.0%","1,960","6.8%","2,086","7.1%","126","5.7%","64","6.8%","62","4.9%","1,429","5.8%","703","5.9%","726","5.8%","414","6.3%","207","6.0%","207","6.6%"
"        55 to 59 years","882","6.9%","479","7.4%","403","6.4%","3,411","7.1%","1,830","7.6%","1,581","6.6%","654","7.8%","328","7.7%","326","7.8%","1,051","7.7%","544","7.9%","507","7.6%","1,731","6.5%","855","6.4%","876","6.6%","516","7.0%","299","7.1%","217","6.9%","1,029","6.8%","545","7.2%","484","6.4%","2,532","7.1%","1,233","7.0%","1,299","7.1%","2,423","6.8%","1,211","6.9%","1,212","6.6%","1,650","7.3%","796","7.0%","854","7.6%","1,212","8.5%","540","7.6%","672","9.4%","1,225","7.5%","603","7.4%","622","7.7%","669","9.1%","365","8.7%","304","9.6%","755","7.2%","441","8.4%","314","6.0%","1,788","8.3%","822","7.7%","966","9.0%","1,011","7.7%","583","9.0%","428","6.5%","740","6.4%","395","6.7%","345","6.0%","654","5.8%","365","5.7%","289","5.9%","1,250","7.3%","648","7.7%","602","6.9%","455","7.4%","207","6.3%","248","8.6%","2,198","7.8%","1,151","8.4%","1,047","7.2%","844","6.1%","471","5.9%","373","6.4%","284","7.0%","132","6.6%","152","7.4%","2,025","7.2%","910","6.6%","1,115","7.8%","4,336","7.5%","2,215","7.7%","2,121","7.2%","176","8.0%","90","9.5%","86","6.8%","1,403","5.7%","579","4.8%","824","6.5%","469","7.1%","155","4.5%","314","10.0%"
"        60 to 64 years","948","7.4%","513","8.0%","435","6.9%","3,241","6.7%","1,435","5.9%","1,806","7.5%","590","7.0%","294","6.9%","296","7.1%","1,039","7.7%","530","7.7%","509","7.6%","1,825","6.8%","919","6.9%","906","6.8%","424","5.7%","214","5.1%","210","6.7%","1,060","7.0%","538","7.1%","522","6.9%","2,667","7.5%","1,179","6.7%","1,488","8.2%","2,567","7.2%","1,246","7.1%","1,321","7.2%","1,607","7.1%","794","7.0%","813","7.2%","986","6.9%","549","7.7%","437","6.1%","1,056","6.5%","509","6.2%","547","6.8%","400","5.5%","193","4.6%","207","6.6%","818","7.8%","348","6.6%","470","9.0%","1,445","6.7%","724","6.8%","721","6.7%","931","7.1%","362","5.6%","569","8.6%","1,010","8.7%","498","8.5%","512","8.9%","807","7.1%","335","5.2%","472","9.6%","1,172","6.9%","517","6.2%","655","7.5%","516","8.4%","302","9.2%","214","7.4%","1,341","4.8%","535","3.9%","806","5.6%","1,106","8.0%","600","7.5%","506","8.7%","444","11.0%","201","10.0%","243","11.9%","2,029","7.2%","988","7.1%","1,041","7.3%","4,141","7.1%","1,916","6.7%","2,225","7.6%","124","5.6%","50","5.3%","74","5.9%","1,224","5.0%","676","5.7%","548","4.3%","517","7.9%","332","9.6%","185","5.9%"
"        65 to 69 years","811","6.4%","348","5.4%","463","7.3%","3,495","7.2%","1,622","6.7%","1,873","7.8%","534","6.3%","275","6.5%","259","6.2%","850","6.3%","363","5.3%","487","7.3%","1,522","5.7%","792","5.9%","730","5.5%","450","6.1%","194","4.6%","256","8.1%","889","5.9%","511","6.7%","378","5.0%","2,483","6.9%","1,197","6.8%","1,286","7.0%","2,407","6.7%","1,188","6.7%","1,219","6.7%","1,706","7.5%","882","7.8%","824","7.3%","832","5.8%","416","5.9%","416","5.8%","1,135","7.0%","488","6.0%","647","8.0%","434","5.9%","241","5.8%","193","6.1%","866","8.3%","352","6.7%","514","9.8%","1,479","6.9%","632","5.9%","847","7.9%","847","6.5%","407","6.3%","440","6.7%","641","5.5%","307","5.2%","334","5.8%","826","7.3%","487","7.6%","339","6.9%","1,132","6.6%","499","6.0%","633","7.3%","408","6.6%","213","6.5%","195","6.7%","1,432","5.1%","678","4.9%","754","5.2%","963","7.0%","510","6.4%","453","7.8%","435","10.7%","175","8.7%","260","12.7%","1,655","5.9%","878","6.3%","777","5.5%","4,090","7.0%","1,881","6.5%","2,209","7.5%","75","3.4%","32","3.4%","43","3.4%","893","3.6%","493","4.1%","400","3.2%","388","5.9%","204","5.9%","184","5.9%"
"        70 to 74 years","490","3.8%","260","4.0%","230","3.6%","2,226","4.6%","1,078","4.5%","1,148","4.8%","363","4.3%","178","4.2%","185","4.4%","739","5.4%","394","5.7%","345","5.1%","1,598","6.0%","724","5.4%","874","6.6%","419","5.7%","250","5.9%","169","5.4%","802","5.3%","303","4.0%","499","6.6%","1,817","5.1%","848","4.8%","969","5.3%","2,072","5.8%","866","4.9%","1,206","6.6%","901","4.0%","405","3.6%","496","4.4%","923","6.5%","465","6.5%","458","6.4%","769","4.7%","402","4.9%","367","4.5%","421","5.7%","203","4.9%","218","6.9%","311","3.0%","221","4.2%","90","1.7%","1,264","5.9%","671","6.3%","593","5.5%","625","4.8%","312","4.8%","313","4.8%","672","5.8%","322","5.5%","350","6.1%","398","3.5%","120","1.9%","278","5.7%","945","5.5%","534","6.4%","411","4.7%","267","4.3%","164","5.0%","103","3.6%","1,517","5.4%","615","4.5%","902","6.2%","575","4.2%","279","3.5%","296","5.1%","203","5.0%","95","4.7%","108","5.3%","1,380","4.9%","583","4.2%","797","5.6%","2,902","5.0%","1,378","4.8%","1,524","5.2%","144","6.5%","80","8.5%","64","5.1%","1,124","4.6%","418","3.5%","706","5.6%","397","6.0%","189","5.5%","208","6.6%"
"        75 to 79 years","362","2.8%","149","2.3%","213","3.4%","1,602","3.3%","609","2.5%","993","4.1%","224","2.7%","90","2.1%","134","3.2%","460","3.4%","172","2.5%","288","4.3%","870","3.3%","406","3.0%","464","3.5%","352","4.8%","187","4.4%","165","5.2%","543","3.6%","267","3.5%","276","3.7%","1,259","3.5%","605","3.5%","654","3.6%","1,380","3.8%","588","3.3%","792","4.3%","692","3.1%","274","2.4%","418","3.7%","360","2.5%","158","2.2%","202","2.8%","367","2.3%","212","2.6%","155","1.9%","201","2.7%","107","2.6%","94","3.0%","483","4.6%","215","4.1%","268","5.1%","811","3.8%","339","3.2%","472","4.4%","469","3.6%","223","3.4%","246","3.7%","355","3.0%","181","3.1%","174","3.0%","451","4.0%","198","3.1%","253","5.1%","576","3.4%","273","3.3%","303","3.5%","264","4.3%","27","0.8%","237","8.2%","790","2.8%","311","2.3%","479","3.3%","380","2.7%","205","2.6%","175","3.0%","150","3.7%","76","3.8%","74","3.6%","872","3.1%","297","2.1%","575","4.0%","1,903","3.3%","787","2.7%","1,116","3.8%","100","4.5%","64","6.8%","36","2.9%","612","2.5%","269","2.3%","343","2.7%","188","2.9%","50","1.5%","138","4.4%"
"        80 to 84 years","302","2.4%","154","2.4%","148","2.3%","1,181","2.4%","476","2.0%","705","2.9%","228","2.7%","110","2.6%","118","2.8%","218","1.6%","99","1.4%","119","1.8%","790","3.0%","291","2.2%","499","3.7%","166","2.2%","72","1.7%","94","3.0%","254","1.7%","120","1.6%","134","1.8%","666","1.9%","180","1.0%","486","2.7%","888","2.5%","423","2.4%","465","2.5%","573","2.5%","307","2.7%","266","2.4%","463","3.2%","186","2.6%","277","3.9%","367","2.3%","121","1.5%","246","3.0%","62","0.8%","51","1.2%","11","0.3%","120","1.1%","51","1.0%","69","1.3%","425","2.0%","189","1.8%","236","2.2%","236","1.8%","145","2.2%","91","1.4%","256","2.2%","97","1.6%","159","2.8%","75","0.7%","37","0.6%","38","0.8%","343","2.0%","103","1.2%","240","2.8%","197","3.2%","111","3.4%","86","3.0%","569","2.0%","259","1.9%","310","2.1%","223","1.6%","75","0.9%","148","2.5%","53","1.3%","16","0.8%","37","1.8%","551","2.0%","323","2.3%","228","1.6%","1,236","2.1%","533","1.9%","703","2.4%","32","1.4%","17","1.8%","15","1.2%","543","2.2%","240","2.0%","303","2.4%","174","2.6%","134","3.9%","40","1.3%"
"        85 years and over","186","1.5%","53","0.8%","133","2.1%","1,115","2.3%","451","1.9%","664","2.8%","85","1.0%","26","0.6%","59","1.4%","166","1.2%","63","0.9%","103","1.5%","441","1.7%","190","1.4%","251","1.9%","123","1.7%","26","0.6%","97","3.1%","263","1.7%","88","1.2%","175","2.3%","502","1.4%","179","1.0%","323","1.8%","935","2.6%","300","1.7%","635","3.5%","321","1.4%","90","0.8%","231","2.0%","219","1.5%","68","1.0%","151","2.1%","314","1.9%","115","1.4%","199","2.5%","169","2.3%","29","0.7%","140","4.4%","140","1.3%","35","0.7%","105","2.0%","344","1.6%","134","1.3%","210","1.9%","288","2.2%","82","1.3%","206","3.1%","194","1.7%","75","1.3%","119","2.1%","193","1.7%","60","0.9%","133","2.7%","248","1.5%","73","0.9%","175","2.0%","143","2.3%","105","3.2%","38","1.3%","423","1.5%","128","0.9%","295","2.0%","223","1.6%","89","1.1%","134","2.3%","52","1.3%","11","0.5%","41","2.0%","321","1.1%","164","1.2%","157","1.1%","1,034","1.8%","375","1.3%","659","2.2%","44","2.0%","9","1.0%","35","2.8%","255","1.0%","78","0.7%","177","1.4%","147","2.2%","14","0.4%","133","4.2%"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","1,831","14.4%","954","14.8%","877","13.9%","5,805","12.0%","2,892","12.0%","2,913","12.1%","1,110","13.2%","585","13.8%","525","12.6%","1,500","11.0%","785","11.4%","715","10.6%","3,189","12.0%","1,651","12.4%","1,538","11.5%","746","10.1%","387","9.2%","359","11.4%","2,037","13.5%","1,048","13.8%","989","13.1%","4,531","12.7%","2,308","13.2%","2,223","12.2%","4,399","12.3%","2,283","13.0%","2,116","11.6%","2,877","12.7%","1,505","13.3%","1,372","12.1%","1,623","11.4%","836","11.8%","787","11.0%","2,215","13.6%","1,198","14.7%","1,017","12.6%","851","11.6%","488","11.7%","363","11.5%","1,286","12.3%","679","12.9%","607","11.6%","2,666","12.4%","1,393","13.0%","1,273","11.8%","1,719","13.2%","833","12.9%","886","13.4%","1,456","12.5%","753","12.8%","703","12.2%","1,250","11.1%","649","10.2%","601","12.2%","2,211","13.0%","1,184","14.2%","1,027","11.8%","730","11.8%","407","12.4%","323","11.2%","3,786","13.4%","1,998","14.6%","1,788","12.3%","1,397","10.1%","780","9.8%","617","10.6%","361","8.9%","203","10.1%","158","7.7%","3,746","13.3%","1,936","13.9%","1,810","12.7%","6,672","11.5%","3,330","11.6%","3,342","11.4%","360","16.3%","107","11.3%","253","20.0%","2,622","10.7%","1,305","10.9%","1,317","10.4%","784","11.9%","424","12.3%","360","11.5%"
"        15 to 17 years","539","4.2%","292","4.5%","247","3.9%","1,882","3.9%","1,062","4.4%","820","3.4%","375","4.5%","207","4.9%","168","4.0%","496","3.7%","256","3.7%","240","3.6%","1,164","4.4%","701","5.3%","463","3.5%","228","3.1%","70","1.7%","158","5.0%","648","4.3%","353","4.7%","295","3.9%","1,368","3.8%","749","4.3%","619","3.4%","1,490","4.2%","768","4.4%","722","4.0%","930","4.1%","504","4.4%","426","3.8%","522","3.7%","283","4.0%","239","3.3%","660","4.1%","363","4.5%","297","3.7%","271","3.7%","209","5.0%","62","2.0%","408","3.9%","217","4.1%","191","3.7%","799","3.7%","427","4.0%","372","3.4%","530","4.1%","277","4.3%","253","3.8%","459","3.9%","228","3.9%","231","4.0%","401","3.5%","220","3.4%","181","3.7%","683","4.0%","326","3.9%","357","4.1%","160","2.6%","69","2.1%","91","3.1%","1,124","4.0%","600","4.4%","524","3.6%","539","3.9%","315","3.9%","224","3.8%","163","4.0%","128","6.4%","35","1.7%","1,131","4.0%","607","4.4%","524","3.7%","2,241","3.9%","1,173","4.1%","1,068","3.6%","105","4.8%","25","2.6%","80","6.3%","823","3.4%","397","3.3%","426","3.4%","307","4.7%","287","8.3%","20","0.6%"
"        Under 18 years","3,211","25.2%","1,682","26.1%","1,529","24.3%","10,381","21.5%","5,378","22.2%","5,003","20.8%","1,979","23.5%","1,024","24.2%","955","22.8%","2,772","20.4%","1,455","21.2%","1,317","19.6%","5,899","22.1%","3,159","23.7%","2,740","20.6%","1,279","17.3%","618","14.6%","661","21.0%","3,695","24.5%","1,875","24.7%","1,820","24.2%","7,930","22.2%","4,097","23.4%","3,833","21.0%","7,684","21.4%","3,986","22.6%","3,698","20.3%","4,996","22.1%","2,649","23.4%","2,347","20.8%","2,863","20.0%","1,468","20.7%","1,395","19.4%","3,995","24.6%","2,159","26.5%","1,836","22.7%","1,494","20.4%","841","20.1%","653","20.7%","2,239","21.4%","1,185","22.6%","1,054","20.2%","4,616","21.5%","2,437","22.8%","2,179","20.2%","2,990","22.9%","1,491","23.0%","1,499","22.8%","2,612","22.4%","1,352","23.0%","1,260","21.9%","2,183","19.3%","1,235","19.4%","948","19.3%","3,896","22.8%","1,953","23.3%","1,943","22.3%","1,363","22.1%","776","23.6%","587","20.3%","6,541","23.2%","3,438","25.1%","3,103","21.4%","2,592","18.7%","1,433","17.9%","1,159","19.8%","751","18.5%","478","23.8%","273","13.3%","6,587","23.4%","3,426","24.7%","3,161","22.2%","11,880","20.4%","5,959","20.7%","5,921","20.1%","560","25.4%","157","16.6%","403","31.9%","4,776","19.5%","2,350","19.7%","2,426","19.2%","1,503","22.9%","982","28.5%","521","16.6%"
"        18 to 24 years","1,061","8.3%","561","8.7%","500","7.9%","3,568","7.4%","1,880","7.8%","1,688","7.0%","631","7.5%","332","7.8%","299","7.1%","1,035","7.6%","569","8.3%","466","6.9%","2,444","9.2%","1,247","9.3%","1,197","9.0%","538","7.3%","354","8.4%","184","5.8%","1,210","8.0%","632","8.3%","578","7.7%","2,664","7.4%","1,475","8.4%","1,189","6.5%","2,575","7.2%","1,404","8.0%","1,171","6.4%","1,701","7.5%","924","8.2%","777","6.9%","1,457","10.2%","779","11.0%","678","9.4%","1,093","6.7%","572","7.0%","521","6.4%","499","6.8%","297","7.1%","202","6.4%","1,002","9.6%","438","8.3%","564","10.8%","1,497","7.0%","780","7.3%","717","6.6%","950","7.3%","496","7.7%","454","6.9%","841","7.2%","433","7.4%","408","7.1%","840","7.4%","487","7.6%","353","7.2%","1,304","7.6%","740","8.8%","564","6.5%","420","6.8%","194","5.9%","226","7.8%","2,430","8.6%","1,181","8.6%","1,249","8.6%","1,022","7.4%","666","8.3%","356","6.1%","284","7.0%","164","8.2%","120","5.9%","1,954","6.9%","994","7.2%","960","6.7%","4,760","8.2%","2,588","9.0%","2,172","7.4%","122","5.5%","73","7.7%","49","3.9%","5,521","22.5%","2,655","22.2%","2,866","22.7%","586","8.9%","325","9.4%","261","8.3%"
"        15 to 44 years","4,442","34.9%","2,271","35.3%","2,171","34.4%","17,180","35.6%","9,066","37.5%","8,114","33.7%","3,036","36.1%","1,550","36.6%","1,486","35.5%","4,930","36.3%","2,585","37.7%","2,345","34.9%","9,560","35.8%","4,916","36.8%","4,644","34.8%","2,837","38.5%","1,794","42.4%","1,043","33.1%","5,247","34.7%","2,683","35.4%","2,564","34.0%","12,553","35.1%","6,455","36.8%","6,098","33.4%","12,241","34.1%","6,282","35.7%","5,959","32.7%","8,054","35.6%","4,130","36.5%","3,924","34.7%","5,010","35.1%","2,548","35.9%","2,462","34.3%","5,565","34.3%","2,826","34.7%","2,739","33.9%","2,774","37.8%","1,793","42.9%","981","31.1%","3,713","35.5%","1,900","36.2%","1,813","34.7%","7,290","33.9%","3,747","35.0%","3,543","32.8%","4,453","34.1%","2,257","34.9%","2,196","33.3%","3,995","34.3%","2,035","34.6%","1,960","34.0%","4,631","41.0%","2,972","46.6%","1,659","33.7%","5,967","35.0%","2,963","35.4%","3,004","34.5%","1,956","31.7%","1,018","31.0%","938","32.5%","10,529","37.4%","5,192","37.9%","5,337","36.8%","5,567","40.2%","3,564","44.6%","2,003","34.3%","1,209","29.8%","682","33.9%","527","25.8%","9,979","35.5%","5,040","36.3%","4,939","34.7%","21,004","36.1%","11,020","38.3%","9,984","33.9%","811","36.7%","337","35.7%","474","37.5%","11,916","48.5%","5,933","49.7%","5,983","47.4%","2,278","34.7%","1,265","36.8%","1,013","32.4%"
